FoldNo;Base;Log;Num;Rel;Cart;DrThr;All;FS
Fold1;91,33;97,11;91,33;91,33;94,22;96,53;97,11;97,11
Fold2;90,17;96,53;90,17;90,17;94,22;94,22;96,53;96,53
Fold3;92,49;100,00;92,49;92,49;94,80;95,95;100,00;100,00
Fold4;91,91;95,38;91,91;91,91;94,80;92,49;95,38;94,80
Fold5;94,80;95,95;94,80;94,80;95,38;95,38;95,95;99,42
Fold6;95,38;98,84;95,38;95,38;97,11;96,53;98,84;98,84
Fold7;90,17;95,38;90,17;90,17;91,33;93,64;95,38;95,38
Fold8;90,17;95,38;90,17;90,17;90,75;91,91;95,38;95,38
Fold9;91,86;95,93;91,86;91,86;94,19;95,93;95,93;97,67
Fold10;95,35;97,67;95,35;95,35;93,60;94,77;97,67;97,67
